,Scoring Offense,Scoring Defense,Scoring Margin,Assists Per Game,Points Per Game,Ground Balls Per Game,Draw Controls Per Game,Draw Control Percentage,Free Position Percentage,Turnovers Per Game,Caused Turnovers Per Game,Win Percentage,Shot Percentage,Shots Per Game,Shots on Goal Per Game,Fouls Per Game,Saves Percentage,Clearing Percentage,team_name
525678,10.81,12.69,-1.88,4.00,14.81,14.50,14.44,0.541,0.507,16.19,6.62,0.312,0.418,25.88,19.44,15.25,0.420,0.851,Villanova Wildcats
525688,14.17,12.22,1.94,5.39,19.56,16.11,16.11,0.544,0.480,16.39,6.94,0.611,0.477,29.72,22.61,16.22,0.427,0.839,Kennesaw St. Owls
525690,15.63,12.21,3.42,7.74,23.37,24.16,15.37,0.495,0.469,15.79,12.00,0.526,0.493,31.74,24.05,16.58,0.421,0.838,High Point Panthers
535118,11.63,12.11,-0.47,4.26,15.89,15.11,12.74,0.465,0.528,16.26,8.05,0.474,0.463,25.11,18.58,25.26,0.465,0.868,Pittsburgh Panthers
525581,12.94,13.17,-0.22,5.78,18.72,15.06,14.44,0.483,0.465,15.00,8.72,0.500,0.453,28.56,22.78,13.56,0.421,0.820,American Eagles
525585,11.13,11.73,-0.60,5.60,16.73,15.07,13.93,0.528,0.441,13.47,5.47,0.467,0.394,28.27,19.47,17.33,0.421,0.904,Brown Bears
525596,11.65,14.06,-2.41,3.76,15.41,16.24,15.53,0.531,0.395,15.18,8.35,0.412,0.369,31.53,22.06,19.94,0.349,0.865,Cincinnati Bearcats
525598,10.44,14.39,-3.94,4.11,14.56,15.39,17.39,0.615,0.409,16.72,5.89,0.333,0.382,27.33,20.44,16.00,0.433,0.835,Colgate Raiders
525601,15.72,13.11,2.61,6.33,22.06,15.83,17.56,0.546,0.454,15.78,7.89,0.722,0.473,33.22,24.89,19.72,0.445,0.856,UConn Huskies
525604,14.06,10.39,3.67,7.11,21.17,15.78,13.44,0.490,0.515,15.78,7.94,0.722,0.491,28.61,21.50,14.89,0.518,0.867,Davidson Wildcats
525630,9.72,11.06,-1.33,4.00,13.72,15.22,11.00,0.459,0.412,14.28,6.67,0.333,0.366,26.56,19.61,10.11,0.502,0.881,LIU Sharks
525641,16.26,10.95,5.32,6.42,22.68,18.74,15.89,0.525,0.487,12.89,10.00,0.737,0.492,33.05,25.47,15.47,0.436,0.851,Mercer Bears
525650,12.50,11.25,1.25,5.19,17.69,16.38,15.88,0.573,0.381,16.31,8.12,0.562,0.406,30.81,21.94,23.06,0.432,0.842,Ohio St. Buckeyes
525663,9.75,13.69,-3.94,4.06,13.81,15.06,13.19,0.498,0.412,17.25,7.38,0.312,0.416,23.44,19.19,10.25,0.459,0.776,Saint Francis (PA) The Red Flash
525668,15.58,12.53,3.05,8.89,24.47,18.37,15.05,0.479,0.500,12.68,6.58,0.632,0.488,31.89,24.58,25.53,0.441,0.911,Stanford Cardinal
525679,10.88,12.94,-2.06,3.71,14.59,17.71,12.76,0.471,0.378,16.71,7.53,0.412,0.394,27.59,20.12,18.41,0.490,0.818,VCU Rams
525682,10.28,10.33,-0.06,3.67,13.94,18.33,10.61,0.481,0.454,14.61,9.67,0.444,0.371,27.67,21.33,13.56,0.497,0.882,Wagner Seahawks
525694,8.06,12.76,-4.71,2.18,10.24,22.18,12.94,0.530,0.391,20.12,9.59,0.118,0.335,24.06,18.06,16.88,0.429,0.790,Akron Zips
525576,13.67,14.00,-0.33,5.44,19.11,16.33,14.06,0.449,0.492,17.44,8.39,0.556,0.443,30.83,23.11,13.50,0.421,0.769,Youngstown St. Penguins
525582,11.94,12.88,-0.94,4.56,16.50,16.69,14.38,0.512,0.431,14.44,6.50,0.438,0.433,27.56,19.75,15.12,0.403,0.881,Binghamton Bearcats
525600,9.27,17.60,-8.33,3.40,12.67,16.27,12.47,0.418,0.417,15.80,6.47,0.133,0.370,25.07,16.67,16.80,0.355,0.799,Columbia Lions
525612,13.95,11.10,2.85,6.85,20.80,17.65,13.70,0.487,0.466,13.95,9.75,0.650,0.429,32.55,24.00,16.15,0.437,0.893,Fairfield Stags
525624,13.63,9.47,4.16,6.89,20.53,15.05,13.74,0.512,0.511,14.00,8.53,0.737,0.490,27.84,20.74,29.42,0.466,0.873,James Madison Dukes
525644,12.85,8.55,4.30,5.30,18.15,17.45,12.45,0.507,0.484,15.20,7.80,0.750,0.448,28.70,21.55,10.65,0.469,0.877,Mount St. Mary's Mountaineers
525647,11.50,13.17,-1.67,4.33,15.83,18.00,12.28,0.432,0.474,16.78,8.39,0.500,0.421,27.33,20.83,14.67,0.463,0.826,Niagara Purple Eagles
525648,15.86,11.76,4.10,6.81,22.67,15.19,18.24,0.595,0.473,14.76,7.71,0.762,0.448,35.38,25.76,20.10,0.415,0.881,Northwestern Wildcats
525658,15.17,9.50,5.67,8.11,23.28,15.72,15.33,0.549,0.369,13.67,6.72,0.778,0.440,34.50,25.94,14.94,0.501,0.918,Richmond Spiders
525670,14.84,6.63,8.21,6.63,21.47,16.37,12.53,0.511,0.460,11.32,10.68,0.842,0.474,31.32,23.26,21.58,0.506,0.930,Stony Brook Seawolves
525672,12.88,11.06,1.82,5.59,18.47,17.00,14.18,0.533,0.500,13.88,7.71,0.647,0.435,29.65,22.82,11.53,0.430,0.863,Temple Owls
525674,14.72,12.39,2.33,5.17,19.89,15.56,14.61,0.488,0.520,11.72,6.44,0.667,0.458,32.11,24.61,15.06,0.434,0.856,Army West Point Black Knights
525683,10.94,16.25,-5.31,4.75,15.69,20.12,13.69,0.445,0.348,19.25,9.12,0.250,0.390,28.06,20.25,25.81,0.397,0.766,William & Mary Tribe
525685,13.88,13.29,0.59,5.12,19.00,16.00,16.24,0.528,0.462,13.35,7.88,0.647,0.434,32.00,24.29,22.06,0.376,0.899,Yale Bulldogs
525687,13.47,13.84,-0.37,6.37,19.84,20.37,14.00,0.457,0.411,17.00,9.74,0.526,0.460,29.32,21.74,16.58,0.414,0.844,Gardner-Webb Runnin' Bulldogs
525689,7.47,14.88,-7.41,1.88,9.35,17.06,10.29,0.425,0.400,17.24,6.82,0.118,0.392,19.06,15.00,11.82,0.375,0.824,Presbyterian Blue Hose
525588,13.20,13.73,-0.53,7.73,20.93,13.73,15.60,0.522,0.447,17.13,8.00,0.400,0.442,29.87,22.20,16.07,0.372,0.793,Butler Bulldogs
525590,9.83,16.89,-7.06,3.78,13.61,14.39,15.06,0.499,0.415,15.22,5.33,0.111,0.383,25.67,18.39,22.22,0.348,0.816,California Golden Bears
525592,15.18,12.47,2.71,6.82,22.00,20.94,16.82,0.538,0.379,15.59,11.29,0.588,0.434,34.94,26.53,16.47,0.408,0.843,Campbell Camels
525609,12.90,10.55,2.35,4.40,17.30,16.35,15.05,0.554,0.441,14.65,8.10,0.600,0.420,30.70,22.65,18.45,0.496,0.901,Drexel Dragons
525620,12.25,13.19,-0.94,4.31,16.56,18.19,11.88,0.409,0.416,15.56,9.38,0.375,0.410,29.88,22.31,11.12,0.428,0.815,Holy Cross Crusaders
525625,11.21,11.11,0.11,4.32,15.53,18.00,11.74,0.451,0.415,13.11,9.58,0.526,0.379,29.58,21.16,25.16,0.430,0.898,Johns Hopkins Blue Jays
525633,9.71,12.82,-3.12,3.41,13.12,13.41,12.53,0.479,0.375,14.76,7.06,0.235,0.366,26.53,19.24,18.41,0.431,0.846,UMass Lowell River Hawks
525635,12.00,12.32,-0.32,4.53,16.53,15.21,15.53,0.556,0.377,15.79,8.37,0.579,0.398,30.16,22.05,13.26,0.433,0.853,Manhattan Jaspers
525640,16.00,9.70,6.30,7.00,23.00,18.10,15.75,0.540,0.446,12.00,11.50,0.800,0.476,33.60,26.30,17.40,0.366,0.921,Massachusetts Minutewomen
525642,12.17,9.28,2.89,4.78,16.94,14.06,13.28,0.525,0.505,14.06,7.94,0.611,0.439,27.72,20.11,18.78,0.492,0.851,Michigan Wolverines
525643,14.37,12.21,2.16,5.32,19.68,17.89,16.68,0.553,0.495,15.16,8.79,0.632,0.437,32.89,25.00,22.16,0.394,0.904,Monmouth Hawks
525652,11.11,15.00,-3.89,3.06,14.17,18.39,13.06,0.443,0.456,15.39,5.89,0.222,0.439,25.33,19.17,26.33,0.396,0.777,Oregon Ducks
525656,11.44,12.31,-0.88,4.12,15.56,17.00,12.44,0.457,0.450,14.56,8.88,0.375,0.367,31.19,22.06,18.56,0.470,0.863,Quinnipiac Bobcats
525657,7.00,15.44,-8.44,2.44,9.44,18.44,11.19,0.441,0.384,19.88,8.06,0.125,0.337,20.75,15.62,16.81,0.406,0.797,Radford Highlanders
